source_id,destination_id,frequency,source_city,source_state,source_country,source_lat,source_long,dest_city,dest_state,dest_country,dest_lat,dest_long
432c8a08-cb8e-11eb-9615-121df0c29c1e,0010f898-cb91-11eb-9615-121df0c29c1e,1,Willacoochee,GA,US,31.3408,-83.046,Wlllacoochee,GA,US,NA,NA
45da2dcd-cb90-11eb-9615-121df0c29c1e,002be46b-cb90-11eb-9615-121df0c29c1e,1,Valhallaveien,NA,NO,NA,NA,Trnsen,NA,NO,NA,NA
fbdab2b0-cb8f-11eb-9615-121df0c29c1e,0034d6f7-cb91-11eb-9615-121df0c29c1e,1,Aberdeen,NA,GB,57.1558,-2.14662,Duneutt,NA,GB,NA,NA
c6bdd7af-cb8f-11eb-9615-121df0c29c1e,0046512a-cb90-11eb-9615-121df0c29c1e,1,Stadtlohn,NA,DE,52.004,6.95222,Stadtolhn,NA,DE,NA,NA
fc82cb9e-cb8f-11eb-9615-121df0c29c1e,004b8c82-cb90-11eb-9615-121df0c29c1e,1,Ibaraki,NA,JP,36.342,140.398,Inayo,NA,JP,NA,NA
3cdf029e-cb8e-11eb-9615-121df0c29c1e,005a4408-cb90-11eb-9615-121df0c29c1e,1,Broussard,LA,US,30.8932,-91.9435,Broussar,LA,US,NA,NA
f8b80080-cb90-11eb-9615-121df0c29c1e,00b88394-cb90-11eb-9615-121df0c29c1e,1,Sannois,NA,FR,48.9732,2.2515,Sannoix,NA,FR,NA,NA
dd7371cb-09bb-11ec-893a-12de62d610b1,015c05d9-cb91-11eb-9615-121df0c29c1e,1,Banchory,NA,GB,57.0514,-2.50446,Petercutter,NA,GB,NA,NA
ea26e319-cb8f-11eb-9615-121df0c29c1e,01a12843-cb8f-11eb-9615-121df0c29c1e,1,Nottingham,NA,GB,52.9534,-1.14928,Church Broughton,NA,GB,52.8997,-1.69526
e48077c8-09bc-11ec-893a-12de62d610b1,01bc167c-cb90-11eb-9615-121df0c29c1e,1,Jabalpur,NA,IN,23.1634,79.9303,Dist. Jablpur,NA,IN,NA,NA
5efb0c03-cb90-11eb-9615-121df0c29c1e,01f2ae29-cb91-11eb-9615-121df0c29c1e,1,Saint-Simon,NA,CA,45.7192,-72.8444,rang Saint-Georges Saint-Simon,NA,CA,47.7079,-68.675
7ea554b1-cb8e-11eb-9615-121df0c29c1e,02148107-cb8f-11eb-9615-121df0c29c1e,1,Chelsea,MI,US,42.3138,-84.022,Chelesa,MI,US,NA,NA
3ca37fca-cb8e-11eb-9615-121df0c29c1e,023c3462-cb90-11eb-9615-121df0c29c1e,1,Pearland,TX,US,29.5479,-95.2767,Perarland,TX,US,NA,NA
b13cfc28-cb8f-11eb-9615-121df0c29c1e,02b267b3-cb91-11eb-9615-121df0c29c1e,1,Narangba,NA,AU,-27.2036,152.959,Harangba,NA,AU,NA,NA
64147b82-cb8e-11eb-9615-121df0c29c1e,02d86544-09be-11ec-893a-12de62d610b1,1,Hundhamaren,NA,NO,NA,NA,Saksvik,NA,NO,63.4351,10.6047
ff010a8c-cb8f-11eb-9615-121df0c29c1e,02ec6f1f-cb8f-11eb-9615-121df0c29c1e,1,Kaohsiung,NA,TW,20.6901,116.779,Kansan,NA,TW,NA,NA
3f72c36c-cb8e-11eb-9615-121df0c29c1e,030f6016-cb8f-11eb-9615-121df0c29c1e,1,Rendsburg,NA,DE,54.297,9.66277,Rickert,NA,DE,54.3388,9.66345
4d543239-cb8e-11eb-9615-121df0c29c1e,032b51e8-cb8f-11eb-9615-121df0c29c1e,1,Contern,NA,LU,49.5888,6.25089,Medingen,NA,LU,49.575,6.24869
d09b8c01-cb90-11eb-9615-121df0c29c1e,03b370f1-cb8f-11eb-9615-121df0c29c1e,1,Gr̦ding,NA,AT,NA,NA,Gr̦dig,NA,AT,NA,NA
a99f84b8-cb90-11eb-9615-121df0c29c1e,03dfc432-cb90-11eb-9615-121df0c29c1e,1,Houma,LA,US,29.5783,-90.7422,Kodal,NA,NO,59.2144,10.1384
c2fd7304-cb90-11eb-9615-121df0c29c1e,03f6d9e4-cb90-11eb-9615-121df0c29c1e,1,Saint Hilaire Le Grand,NA,FR,49.1644,4.42074,Mourmelon le Grand,NA,FR,49.132,4.38165
b5caad4e-cb8e-11eb-9615-121df0c29c1e,04009e69-cb90-11eb-9615-121df0c29c1e,1,Wedewark,NA,DE,NA,NA,Wedgemark,NA,DE,NA,NA
af154e1a-cb8e-11eb-9615-121df0c29c1e,0444eb74-cb8f-11eb-9615-121df0c29c1e,1,Guyancourt,NA,FR,48.7742,2.07484,Gyuancourt,NA,FR,NA,NA
43bb780d-cb8f-11eb-9615-121df0c29c1e,045fe619-cb8f-11eb-9615-121df0c29c1e,1,Lamotte Buleux,NA,FR,50.1864,1.83398,Viseu,NA,PT,40.6891,-7.89979
3f6d6f06-cb8e-11eb-9615-121df0c29c1e,04655d8c-cb91-11eb-9615-121df0c29c1e,1,New Caney,TX,US,30.1552,-95.2113,Aurora,TX,US,33.0596,-97.5111
72cdae49-cb8e-11eb-9615-121df0c29c1e,04a764fa-cb8f-11eb-9615-121df0c29c1e,1,Oberhaid,NA,DE,49.9418,10.7912,Staffelbach,NA,DE,49.9442,10.7516
fad5b8ef-cb90-11eb-9615-121df0c29c1e,04e0c70f-cb90-11eb-9615-121df0c29c1e,1,Gloucestershire,NA,GB,51.8451,-2.14818,Lafayett,LA,US,NA,NA
e8b5e2a7-cb90-11eb-9615-121df0c29c1e,050d8b2f-cb8f-11eb-9615-121df0c29c1e,1,Kristiansand,NA,NO,58.1461,7.99573,Rabbersvik,NA,NO,NA,NA
ab4e0691-cb8e-11eb-9615-121df0c29c1e,050db0f2-cb8f-11eb-9615-121df0c29c1e,1,Covina,CA,US,34.0873,-117.884,Covnia,CA,US,NA,NA
5392316e-cb8e-11eb-9615-121df0c29c1e,05224e1a-cb91-11eb-9615-121df0c29c1e,1,Sierning,NA,AT,48.048,14.3011,"Postfach 2, Innerschwand 226",NA,AT,47.8314,13.421
d819fd7f-cb8f-11eb-9615-121df0c29c1e,05b95a2d-cb91-11eb-9615-121df0c29c1e,1,Solingen,NA,DE,51.1671,7.05831,Hasencleverstrasse,NA,DE,NA,NA
f7b8e10f-cb8f-11eb-9615-121df0c29c1e,0600e582-cb8f-11eb-9615-121df0c29c1e,1,Shanghai,NA,CN,31.27,121.932,Anting Town,NA,CN,31.2715,121.168
d8142be3-cb8f-11eb-9615-121df0c29c1e,0604119a-cb8f-11eb-9615-121df0c29c1e,1,Niskayuna,NY,US,42.8077,-73.875,Glenview,NY,US,NA,NA
490835e7-cb8e-11eb-9615-121df0c29c1e,06055b54-cb8f-11eb-9615-121df0c29c1e,1,Oil City,PA,US,41.427,-79.7012,Venus,PA,US,41.3667,-79.4781
f8521b9e-cb8e-11eb-9615-121df0c29c1e,060573c5-cb8f-11eb-9615-121df0c29c1e,1,Gauteng,NA,ZA,-26.0176,28.012,Ebotse,NA,ZA,NA,NA
f8cc952d-cb8e-11eb-9615-121df0c29c1e,062efb92-cb8f-11eb-9615-121df0c29c1e,1,Huntington Beach,CA,US,33.6783,-118,Gregory,SD,US,43.2328,-99.4253
5199939d-cb8f-11eb-9615-121df0c29c1e,06e775a6-cb8f-11eb-9615-121df0c29c1e,1,Melsbach,NA,DE,50.4895,7.47931,Meisbach,NA,DE,NA,NA
fd33d41f-cb8e-11eb-9615-121df0c29c1e,07357eee-cb8f-11eb-9615-121df0c29c1e,1,Royston,NA,GB,52.0485,-0.02259,West Hembury Farm,NA,GB,38.0928,-102.559
fbdab2b0-cb8f-11eb-9615-121df0c29c1e,075040a7-cb8f-11eb-9615-121df0c29c1e,1,Aberdeen,NA,GB,57.1558,-2.14662,Tarnowiec,NA,PL,53.4935,14.916
e410d7a3-cb8f-11eb-9615-121df0c29c1e,07657302-cb90-11eb-9615-121df0c29c1e,1,Videbaek,NA,DK,56.0894,8.62952,Videb,NA,DK,NA,NA
a8554d6f-cb8f-11eb-9615-121df0c29c1e,077cb9bb-cb90-11eb-9615-121df0c29c1e,1,Vestre Amoy,NA,NO,59.2026,5.42253,Hegreberg,NA,NO,NA,NA
92461461-cb8e-11eb-9615-121df0c29c1e,07a4caab-cb8f-11eb-9615-121df0c29c1e,1,Tulsa,OK,US,36.1523,-95.8846,Tulso,OK,US,NA,NA
