field,year,patent_category,gender_category,count
civil engineering,1976,Solo,Npatent,1966
civil engineering,1976,Solo,only men,1893
civil engineering,1976,Solo,with women,73
civil engineering,1976,Solo,pct_withwomen,3.713123092573754
civil engineering,1976,Collaborative,Npatent,713
civil engineering,1976,Collaborative,only men,664
civil engineering,1976,Collaborative,with women,49
civil engineering,1976,Collaborative,pct_withwomen,6.872370266479663
civil engineering,1977,Solo,Npatent,1893
civil engineering,1977,Solo,only men,1811
civil engineering,1977,Solo,with women,82
civil engineering,1977,Solo,pct_withwomen,4.33174854727945
civil engineering,1977,Collaborative,Npatent,656
civil engineering,1977,Collaborative,only men,603
civil engineering,1977,Collaborative,with women,53
civil engineering,1977,Collaborative,pct_withwomen,8.079268292682928
civil engineering,1978,Solo,Npatent,2101
civil engineering,1978,Solo,only men,1999
civil engineering,1978,Solo,with women,102
civil engineering,1978,Solo,pct_withwomen,4.854831032841504
civil engineering,1978,Collaborative,Npatent,661
civil engineering,1978,Collaborative,only men,592
civil engineering,1978,Collaborative,with women,69
civil engineering,1978,Collaborative,pct_withwomen,10.43872919818457
civil engineering,1979,Solo,Npatent,1312
civil engineering,1979,Solo,only men,1268
civil engineering,1979,Solo,with women,44
civil engineering,1979,Solo,pct_withwomen,3.3536585365853657
civil engineering,1979,Collaborative,Npatent,417
civil engineering,1979,Collaborative,only men,356
civil engineering,1979,Collaborative,with women,61
civil engineering,1979,Collaborative,pct_withwomen,14.628297362110311
civil engineering,1980,Solo,Npatent,1643
civil engineering,1980,Solo,only men,1572
civil engineering,1980,Solo,with women,71
civil engineering,1980,Solo,pct_withwomen,4.321363359707852
civil engineering,1980,Collaborative,Npatent,591
civil engineering,1980,Collaborative,only men,537
civil engineering,1980,Collaborative,with women,54
civil engineering,1980,Collaborative,pct_withwomen,9.137055837563452
civil engineering,1981,Solo,Npatent,1859
civil engineering,1981,Solo,only men,1775
civil engineering,1981,Solo,with women,84
civil engineering,1981,Solo,pct_withwomen,4.518558364712211
civil engineering,1981,Collaborative,Npatent,633
civil engineering,1981,Collaborative,only men,569
civil engineering,1981,Collaborative,with women,64
civil engineering,1981,Collaborative,pct_withwomen,10.110584518167457
civil engineering,1982,Solo,Npatent,1497
civil engineering,1982,Solo,only men,1434
civil engineering,1982,Solo,with women,63
civil engineering,1982,Solo,pct_withwomen,4.208416833667335
civil engineering,1982,Collaborative,Npatent,530
civil engineering,1982,Collaborative,only men,478
civil engineering,1982,Collaborative,with women,52
civil engineering,1982,Collaborative,pct_withwomen,9.81132075471698
civil engineering,1983,Solo,Npatent,1497
civil engineering,1983,Solo,only men,1446
civil engineering,1983,Solo,with women,51
civil engineering,1983,Solo,pct_withwomen,3.406813627254509
civil engineering,1983,Collaborative,Npatent,569
civil engineering,1983,Collaborative,only men,523
civil engineering,1983,Collaborative,with women,46
