field,year,patent_category,gender_category,count
civil engineering,1983,Collaborative,pct_withwomen,8.084358523725834
civil engineering,1984,Solo,Npatent,1804
civil engineering,1984,Solo,only men,1733
civil engineering,1984,Solo,with women,71
civil engineering,1984,Solo,pct_withwomen,3.9356984478935697
civil engineering,1984,Collaborative,Npatent,789
civil engineering,1984,Collaborative,only men,705
civil engineering,1984,Collaborative,with women,84
civil engineering,1984,Collaborative,pct_withwomen,10.64638783269962
civil engineering,1985,Solo,Npatent,1663
civil engineering,1985,Solo,only men,1599
civil engineering,1985,Solo,with women,64
civil engineering,1985,Solo,pct_withwomen,3.848466626578473
civil engineering,1985,Collaborative,Npatent,745
civil engineering,1985,Collaborative,only men,641
civil engineering,1985,Collaborative,with women,104
civil engineering,1985,Collaborative,pct_withwomen,13.95973154362416
civil engineering,1986,Solo,Npatent,1722
civil engineering,1986,Solo,only men,1659
civil engineering,1986,Solo,with women,63
civil engineering,1986,Solo,pct_withwomen,3.658536585365854
civil engineering,1986,Collaborative,Npatent,769
civil engineering,1986,Collaborative,only men,685
civil engineering,1986,Collaborative,with women,84
civil engineering,1986,Collaborative,pct_withwomen,10.923276983094928
civil engineering,1987,Solo,Npatent,2048
civil engineering,1987,Solo,only men,1962
civil engineering,1987,Solo,with women,86
civil engineering,1987,Solo,pct_withwomen,4.19921875
civil engineering,1987,Collaborative,Npatent,883
civil engineering,1987,Collaborative,only men,797
civil engineering,1987,Collaborative,with women,86
civil engineering,1987,Collaborative,pct_withwomen,9.739524348810871
civil engineering,1988,Solo,Npatent,1654
civil engineering,1988,Solo,only men,1588
civil engineering,1988,Solo,with women,66
civil engineering,1988,Solo,pct_withwomen,3.9903264812575574
civil engineering,1988,Collaborative,Npatent,707
civil engineering,1988,Collaborative,only men,635
civil engineering,1988,Collaborative,with women,72
civil engineering,1988,Collaborative,pct_withwomen,10.183875530410184
civil engineering,1989,Solo,Npatent,2154
civil engineering,1989,Solo,only men,2041
civil engineering,1989,Solo,with women,113
civil engineering,1989,Solo,pct_withwomen,5.246053853296194
civil engineering,1989,Collaborative,Npatent,951
civil engineering,1989,Collaborative,only men,859
civil engineering,1989,Collaborative,with women,92
civil engineering,1989,Collaborative,pct_withwomen,9.674027339642482
civil engineering,1990,Solo,Npatent,1866
civil engineering,1990,Solo,only men,1789
civil engineering,1990,Solo,with women,77
civil engineering,1990,Solo,pct_withwomen,4.126473740621651
civil engineering,1990,Collaborative,Npatent,931
civil engineering,1990,Collaborative,only men,820
civil engineering,1990,Collaborative,with women,111
civil engineering,1990,Collaborative,pct_withwomen,11.92266380236305
civil engineering,1991,Solo,Npatent,1918
civil engineering,1991,Solo,only men,1831
civil engineering,1991,Solo,with women,87
civil engineering,1991,Solo,pct_withwomen,4.535974973931178
civil engineering,1991,Collaborative,Npatent,1008
civil engineering,1991,Collaborative,only men,884
civil engineering,1991,Collaborative,with women,124
civil engineering,1991,Collaborative,pct_withwomen,12.301587301587302
civil engineering,1992,Solo,Npatent,1849
civil engineering,1992,Solo,only men,1753
civil engineering,1992,Solo,with women,96
civil engineering,1992,Solo,pct_withwomen,5.191995673336939
civil engineering,1992,Collaborative,Npatent,1001
civil engineering,1992,Collaborative,only men,865
civil engineering,1992,Collaborative,with women,136
civil engineering,1992,Collaborative,pct_withwomen,13.586413586413586
civil engineering,1993,Solo,Npatent,1809
civil engineering,1993,Solo,only men,1715
civil engineering,1993,Solo,with women,94
civil engineering,1993,Solo,pct_withwomen,5.19624101713654
civil engineering,1993,Collaborative,Npatent,1016
civil engineering,1993,Collaborative,only men,893
civil engineering,1993,Collaborative,with women,123
civil engineering,1993,Collaborative,pct_withwomen,12.106299212598426
civil engineering,1994,Solo,Npatent,1766
civil engineering,1994,Solo,only men,1681
civil engineering,1994,Solo,with women,85
civil engineering,1994,Solo,pct_withwomen,4.813137032842582
civil engineering,1994,Collaborative,Npatent,1060
civil engineering,1994,Collaborative,only men,937
civil engineering,1994,Collaborative,with women,123
civil engineering,1994,Collaborative,pct_withwomen,11.60377358490566
civil engineering,1995,Solo,Npatent,1696
civil engineering,1995,Solo,only men,1624
civil engineering,1995,Solo,with women,72
civil engineering,1995,Solo,pct_withwomen,4.245283018867925
civil engineering,1995,Collaborative,Npatent,982
civil engineering,1995,Collaborative,only men,854
civil engineering,1995,Collaborative,with women,128
civil engineering,1995,Collaborative,pct_withwomen,13.034623217922608
civil engineering,1996,Solo,Npatent,1842
civil engineering,1996,Solo,only men,1760
civil engineering,1996,Solo,with women,82
civil engineering,1996,Solo,pct_withwomen,4.451682953311618
civil engineering,1996,Collaborative,Npatent,1158
civil engineering,1996,Collaborative,only men,1017
civil engineering,1996,Collaborative,with women,141
civil engineering,1996,Collaborative,pct_withwomen,12.176165803108809
civil engineering,1997,Solo,Npatent,1774
civil engineering,1997,Solo,only men,1690
civil engineering,1997,Solo,with women,84
civil engineering,1997,Solo,pct_withwomen,4.735062006764374
civil engineering,1997,Collaborative,Npatent,1084
civil engineering,1997,Collaborative,only men,947
civil engineering,1997,Collaborative,with women,137
civil engineering,1997,Collaborative,pct_withwomen,12.638376383763838
civil engineering,1998,Solo,Npatent,2094
civil engineering,1998,Solo,only men,1996
civil engineering,1998,Solo,with women,98
civil engineering,1998,Solo,pct_withwomen,4.680038204393505
civil engineering,1998,Collaborative,Npatent,1396
civil engineering,1998,Collaborative,only men,1213
civil engineering,1998,Collaborative,with women,183
civil engineering,1998,Collaborative,pct_withwomen,13.10888252148997
civil engineering,1999,Solo,Npatent,2146
civil engineering,1999,Solo,only men,2050
civil engineering,1999,Solo,with women,96
civil engineering,1999,Solo,pct_withwomen,4.473438956197577
civil engineering,1999,Collaborative,Npatent,1488
civil engineering,1999,Collaborative,only men,1276
civil engineering,1999,Collaborative,with women,212
civil engineering,1999,Collaborative,pct_withwomen,14.24731182795699
civil engineering,2000,Solo,Npatent,2204
civil engineering,2000,Solo,only men,2099
civil engineering,2000,Solo,with women,105
civil engineering,2000,Solo,pct_withwomen,4.764065335753176
civil engineering,2000,Collaborative,Npatent,1611
civil engineering,2000,Collaborative,only men,1387
civil engineering,2000,Collaborative,with women,224
civil engineering,2000,Collaborative,pct_withwomen,13.904407200496586
civil engineering,2001,Solo,Npatent,2152
civil engineering,2001,Solo,only men,2046
civil engineering,2001,Solo,with women,106
civil engineering,2001,Solo,pct_withwomen,4.925650557620818
civil engineering,2001,Collaborative,Npatent,1582
civil engineering,2001,Collaborative,only men,1375
civil engineering,2001,Collaborative,with women,207
civil engineering,2001,Collaborative,pct_withwomen,13.084702907711756
civil engineering,2002,Solo,Npatent,2071
civil engineering,2002,Solo,only men,1974
civil engineering,2002,Solo,with women,97
civil engineering,2002,Solo,pct_withwomen,4.683727667793336
civil engineering,2002,Collaborative,Npatent,1562
civil engineering,2002,Collaborative,only men,1323
civil engineering,2002,Collaborative,with women,239
civil engineering,2002,Collaborative,pct_withwomen,15.30089628681178
civil engineering,2003,Solo,Npatent,1893
civil engineering,2003,Solo,only men,1800
civil engineering,2003,Solo,with women,93
civil engineering,2003,Solo,pct_withwomen,4.91283676703645
civil engineering,2003,Collaborative,Npatent,1621
civil engineering,2003,Collaborative,only men,1405
civil engineering,2003,Collaborative,with women,216
civil engineering,2003,Collaborative,pct_withwomen,13.325107958050586
civil engineering,2004,Solo,Npatent,1806
civil engineering,2004,Solo,only men,1710
civil engineering,2004,Solo,with women,96
civil engineering,2004,Solo,pct_withwomen,5.3156146179401995
civil engineering,2004,Collaborative,Npatent,1569
civil engineering,2004,Collaborative,only men,1300
civil engineering,2004,Collaborative,with women,269
civil engineering,2004,Collaborative,pct_withwomen,17.144678138942
civil engineering,2005,Solo,Npatent,1621
civil engineering,2005,Solo,only men,1536
civil engineering,2005,Solo,with women,85
civil engineering,2005,Solo,pct_withwomen,5.243676742751388
civil engineering,2005,Collaborative,Npatent,1375
civil engineering,2005,Collaborative,only men,1153
civil engineering,2005,Collaborative,with women,222
civil engineering,2005,Collaborative,pct_withwomen,16.145454545454545
civil engineering,2006,Solo,Npatent,1723
civil engineering,2006,Solo,only men,1638
civil engineering,2006,Solo,with women,85
civil engineering,2006,Solo,pct_withwomen,4.933255948926291
civil engineering,2006,Collaborative,Npatent,1660
civil engineering,2006,Collaborative,only men,1395
civil engineering,2006,Collaborative,with women,265
civil engineering,2006,Collaborative,pct_withwomen,15.963855421686747
civil engineering,2007,Solo,Npatent,1431
civil engineering,2007,Solo,only men,1362
civil engineering,2007,Solo,with women,69
civil engineering,2007,Solo,pct_withwomen,4.821802935010482
civil engineering,2007,Collaborative,Npatent,1414
civil engineering,2007,Collaborative,only men,1205
civil engineering,2007,Collaborative,with women,209
civil engineering,2007,Collaborative,pct_withwomen,14.78076379066478
civil engineering,2008,Solo,Npatent,1303
civil engineering,2008,Solo,only men,1253
civil engineering,2008,Solo,with women,50
civil engineering,2008,Solo,pct_withwomen,3.837298541826554
civil engineering,2008,Collaborative,Npatent,1393
civil engineering,2008,Collaborative,only men,1182
civil engineering,2008,Collaborative,with women,211
civil engineering,2008,Collaborative,pct_withwomen,15.147164393395549
civil engineering,2009,Solo,Npatent,1454
civil engineering,2009,Solo,only men,1389
civil engineering,2009,Solo,with women,65
civil engineering,2009,Solo,pct_withwomen,4.470426409903714
civil engineering,2009,Collaborative,Npatent,1474
civil engineering,2009,Collaborative,only men,1250
civil engineering,2009,Collaborative,with women,224
civil engineering,2009,Collaborative,pct_withwomen,15.19674355495251
civil engineering,2010,Solo,Npatent,1978
civil engineering,2010,Solo,only men,1878
civil engineering,2010,Solo,with women,100
civil engineering,2010,Solo,pct_withwomen,5.055611729019211
civil engineering,2010,Collaborative,Npatent,2133
civil engineering,2010,Collaborative,only men,1798
civil engineering,2010,Collaborative,with women,335
civil engineering,2010,Collaborative,pct_withwomen,15.705578996718238
civil engineering,2011,Solo,Npatent,1812
civil engineering,2011,Solo,only men,1723
civil engineering,2011,Solo,with women,89
civil engineering,2011,Solo,pct_withwomen,4.911699779249449
civil engineering,2011,Collaborative,Npatent,2002
civil engineering,2011,Collaborative,only men,1651
civil engineering,2011,Collaborative,with women,351
civil engineering,2011,Collaborative,pct_withwomen,17.532467532467532
civil engineering,2012,Solo,Npatent,1980
civil engineering,2012,Solo,only men,1886
civil engineering,2012,Solo,with women,94
civil engineering,2012,Solo,pct_withwomen,4.747474747474747
civil engineering,2012,Collaborative,Npatent,2301
civil engineering,2012,Collaborative,only men,1940
civil engineering,2012,Collaborative,with women,361
civil engineering,2012,Collaborative,pct_withwomen,15.688830943068231
civil engineering,2013,Solo,Npatent,2344
civil engineering,2013,Solo,only men,2228
civil engineering,2013,Solo,with women,116
civil engineering,2013,Solo,pct_withwomen,4.948805460750854
civil engineering,2013,Collaborative,Npatent,2662
civil engineering,2013,Collaborative,only men,2249
civil engineering,2013,Collaborative,with women,413
civil engineering,2013,Collaborative,pct_withwomen,15.514650638617582
civil engineering,2014,Solo,Npatent,2577
civil engineering,2014,Solo,only men,2446
civil engineering,2014,Solo,with women,131
civil engineering,2014,Solo,pct_withwomen,5.083430345362825
civil engineering,2014,Collaborative,Npatent,3030
civil engineering,2014,Collaborative,only men,2471
civil engineering,2014,Collaborative,with women,559
civil engineering,2014,Collaborative,pct_withwomen,18.448844884488448
civil engineering,2015,Solo,Npatent,2784
civil engineering,2015,Solo,only men,2628
civil engineering,2015,Solo,with women,156
civil engineering,2015,Solo,pct_withwomen,5.603448275862069
civil engineering,2015,Collaborative,Npatent,3222
civil engineering,2015,Collaborative,only men,2648
civil engineering,2015,Collaborative,with women,574
civil engineering,2015,Collaborative,pct_withwomen,17.81502172563625
civil engineering,2016,Solo,Npatent,2663
civil engineering,2016,Solo,only men,2508
civil engineering,2016,Solo,with women,155
civil engineering,2016,Solo,pct_withwomen,5.8205031918888475
civil engineering,2016,Collaborative,Npatent,3553
civil engineering,2016,Collaborative,only men,2932
civil engineering,2016,Collaborative,with women,621
civil engineering,2016,Collaborative,pct_withwomen,17.478187447227693
civil engineering,2017,Solo,Npatent,2903
civil engineering,2017,Solo,only men,2764
civil engineering,2017,Solo,with women,139
civil engineering,2017,Solo,pct_withwomen,4.78815018945918
civil engineering,2017,Collaborative,Npatent,3745
civil engineering,2017,Collaborative,only men,3015
civil engineering,2017,Collaborative,with women,730
civil engineering,2017,Collaborative,pct_withwomen,19.492656875834445
civil engineering,2018,Solo,Npatent,2932
civil engineering,2018,Solo,only men,2790
civil engineering,2018,Solo,with women,142
civil engineering,2018,Solo,pct_withwomen,4.843110504774898
civil engineering,2018,Collaborative,Npatent,4021
civil engineering,2018,Collaborative,only men,3273
civil engineering,2018,Collaborative,with women,748
civil engineering,2018,Collaborative,pct_withwomen,18.602337726933598
civil engineering,2019,Solo,Npatent,3353
civil engineering,2019,Solo,only men,3155
civil engineering,2019,Solo,with women,198
civil engineering,2019,Solo,pct_withwomen,5.905159558604235
civil engineering,2019,Collaborative,Npatent,4720
civil engineering,2019,Collaborative,only men,3832
civil engineering,2019,Collaborative,with women,888
civil engineering,2019,Collaborative,pct_withwomen,18.8135593220339
civil engineering,2020,Solo,Npatent,3064
civil engineering,2020,Solo,only men,2916
civil engineering,2020,Solo,with women,148
civil engineering,2020,Solo,pct_withwomen,4.830287206266319
civil engineering,2020,Collaborative,Npatent,4631
civil engineering,2020,Collaborative,only men,3739
civil engineering,2020,Collaborative,with women,892
civil engineering,2020,Collaborative,pct_withwomen,19.26149859641546
civil engineering,2021,Solo,Npatent,2574
civil engineering,2021,Solo,only men,2440
civil engineering,2021,Solo,with women,134
civil engineering,2021,Solo,pct_withwomen,5.205905205905206
civil engineering,2021,Collaborative,Npatent,4179
civil engineering,2021,Collaborative,only men,3360
civil engineering,2021,Collaborative,with women,819
civil engineering,2021,Collaborative,pct_withwomen,19.597989949748744
pharmaceuticals,1976,Solo,Npatent,328
pharmaceuticals,1976,Solo,only men,310
pharmaceuticals,1976,Solo,with women,18
pharmaceuticals,1976,Solo,pct_withwomen,5.487804878048781
pharmaceuticals,1976,Collaborative,Npatent,315
pharmaceuticals,1976,Collaborative,only men,285
pharmaceuticals,1976,Collaborative,with women,30
pharmaceuticals,1976,Collaborative,pct_withwomen,9.523809523809524
pharmaceuticals,1977,Solo,Npatent,346
pharmaceuticals,1977,Solo,only men,331
pharmaceuticals,1977,Solo,with women,15
pharmaceuticals,1977,Solo,pct_withwomen,4.335260115606936
pharmaceuticals,1977,Collaborative,Npatent,372
pharmaceuticals,1977,Collaborative,only men,317
pharmaceuticals,1977,Collaborative,with women,55
pharmaceuticals,1977,Collaborative,pct_withwomen,14.78494623655914
pharmaceuticals,1978,Solo,Npatent,480
pharmaceuticals,1978,Solo,only men,462
pharmaceuticals,1978,Solo,with women,18
pharmaceuticals,1978,Solo,pct_withwomen,3.75
pharmaceuticals,1978,Collaborative,Npatent,400
pharmaceuticals,1978,Collaborative,only men,318
pharmaceuticals,1978,Collaborative,with women,82
pharmaceuticals,1978,Collaborative,pct_withwomen,20.5
pharmaceuticals,1979,Solo,Npatent,294
pharmaceuticals,1979,Solo,only men,284
pharmaceuticals,1979,Solo,with women,10
pharmaceuticals,1979,Solo,pct_withwomen,3.401360544217687
pharmaceuticals,1979,Collaborative,Npatent,324
pharmaceuticals,1979,Collaborative,only men,279
pharmaceuticals,1979,Collaborative,with women,45
pharmaceuticals,1979,Collaborative,pct_withwomen,13.88888888888889
pharmaceuticals,1980,Solo,Npatent,322
pharmaceuticals,1980,Solo,only men,301
pharmaceuticals,1980,Solo,with women,21
pharmaceuticals,1980,Solo,pct_withwomen,6.521739130434782
pharmaceuticals,1980,Collaborative,Npatent,370
pharmaceuticals,1980,Collaborative,only men,287
pharmaceuticals,1980,Collaborative,with women,83
pharmaceuticals,1980,Collaborative,pct_withwomen,22.43243243243243
pharmaceuticals,1981,Solo,Npatent,339
pharmaceuticals,1981,Solo,only men,319
pharmaceuticals,1981,Solo,with women,20
pharmaceuticals,1981,Solo,pct_withwomen,5.899705014749262
pharmaceuticals,1981,Collaborative,Npatent,379
pharmaceuticals,1981,Collaborative,only men,319
pharmaceuticals,1981,Collaborative,with women,60
pharmaceuticals,1981,Collaborative,pct_withwomen,15.831134564643799
pharmaceuticals,1982,Solo,Npatent,316
pharmaceuticals,1982,Solo,only men,301
pharmaceuticals,1982,Solo,with women,15
pharmaceuticals,1982,Solo,pct_withwomen,4.746835443037975
pharmaceuticals,1982,Collaborative,Npatent,351
pharmaceuticals,1982,Collaborative,only men,297
pharmaceuticals,1982,Collaborative,with women,54
pharmaceuticals,1982,Collaborative,pct_withwomen,15.384615384615385
pharmaceuticals,1983,Solo,Npatent,304
pharmaceuticals,1983,Solo,only men,283
pharmaceuticals,1983,Solo,with women,21
pharmaceuticals,1983,Solo,pct_withwomen,6.907894736842105
pharmaceuticals,1983,Collaborative,Npatent,290
pharmaceuticals,1983,Collaborative,only men,242
pharmaceuticals,1983,Collaborative,with women,48
pharmaceuticals,1983,Collaborative,pct_withwomen,16.551724137931036
pharmaceuticals,1984,Solo,Npatent,413
pharmaceuticals,1984,Solo,only men,383
pharmaceuticals,1984,Solo,with women,30
pharmaceuticals,1984,Solo,pct_withwomen,7.263922518159807
pharmaceuticals,1984,Collaborative,Npatent,430
pharmaceuticals,1984,Collaborative,only men,326
pharmaceuticals,1984,Collaborative,with women,104
pharmaceuticals,1984,Collaborative,pct_withwomen,24.186046511627907
pharmaceuticals,1985,Solo,Npatent,342
pharmaceuticals,1985,Solo,only men,311
pharmaceuticals,1985,Solo,with women,31
pharmaceuticals,1985,Solo,pct_withwomen,9.064327485380117
pharmaceuticals,1985,Collaborative,Npatent,471
pharmaceuticals,1985,Collaborative,only men,365
pharmaceuticals,1985,Collaborative,with women,106
pharmaceuticals,1985,Collaborative,pct_withwomen,22.505307855626327
pharmaceuticals,1986,Solo,Npatent,344
pharmaceuticals,1986,Solo,only men,316
pharmaceuticals,1986,Solo,with women,28
pharmaceuticals,1986,Solo,pct_withwomen,8.13953488372093
pharmaceuticals,1986,Collaborative,Npatent,503
pharmaceuticals,1986,Collaborative,only men,393
pharmaceuticals,1986,Collaborative,with women,110
pharmaceuticals,1986,Collaborative,pct_withwomen,21.868787276341948
pharmaceuticals,1987,Solo,Npatent,441
pharmaceuticals,1987,Solo,only men,403
pharmaceuticals,1987,Solo,with women,38
pharmaceuticals,1987,Solo,pct_withwomen,8.616780045351474
pharmaceuticals,1987,Collaborative,Npatent,674
pharmaceuticals,1987,Collaborative,only men,500
pharmaceuticals,1987,Collaborative,with women,174
pharmaceuticals,1987,Collaborative,pct_withwomen,25.816023738872403
pharmaceuticals,1988,Solo,Npatent,394
pharmaceuticals,1988,Solo,only men,360
pharmaceuticals,1988,Solo,with women,34
pharmaceuticals,1988,Solo,pct_withwomen,8.629441624365482
pharmaceuticals,1988,Collaborative,Npatent,674
pharmaceuticals,1988,Collaborative,only men,472
pharmaceuticals,1988,Collaborative,with women,202
pharmaceuticals,1988,Collaborative,pct_withwomen,29.97032640949555
pharmaceuticals,1989,Solo,Npatent,537
pharmaceuticals,1989,Solo,only men,488
pharmaceuticals,1989,Solo,with women,49
pharmaceuticals,1989,Solo,pct_withwomen,9.124767225325884
pharmaceuticals,1989,Collaborative,Npatent,945
pharmaceuticals,1989,Collaborative,only men,663
pharmaceuticals,1989,Collaborative,with women,282
pharmaceuticals,1989,Collaborative,pct_withwomen,29.841269841269842
pharmaceuticals,1990,Solo,Npatent,512
pharmaceuticals,1990,Solo,only men,476
pharmaceuticals,1990,Solo,with women,36
pharmaceuticals,1990,Solo,pct_withwomen,7.03125
pharmaceuticals,1990,Collaborative,Npatent,957
pharmaceuticals,1990,Collaborative,only men,655
pharmaceuticals,1990,Collaborative,with women,302
pharmaceuticals,1990,Collaborative,pct_withwomen,31.556948798328108
pharmaceuticals,1991,Solo,Npatent,553
pharmaceuticals,1991,Solo,only men,493
pharmaceuticals,1991,Solo,with women,60
pharmaceuticals,1991,Solo,pct_withwomen,10.849909584086799
pharmaceuticals,1991,Collaborative,Npatent,1078
pharmaceuticals,1991,Collaborative,only men,770
pharmaceuticals,1991,Collaborative,with women,308
pharmaceuticals,1991,Collaborative,pct_withwomen,28.571428571428573
pharmaceuticals,1992,Solo,Npatent,573
pharmaceuticals,1992,Solo,only men,522
pharmaceuticals,1992,Solo,with women,51
pharmaceuticals,1992,Solo,pct_withwomen,8.900523560209423
pharmaceuticals,1992,Collaborative,Npatent,1148
pharmaceuticals,1992,Collaborative,only men,744
pharmaceuticals,1992,Collaborative,with women,404
pharmaceuticals,1992,Collaborative,pct_withwomen,35.19163763066202
pharmaceuticals,1993,Solo,Npatent,609
pharmaceuticals,1993,Solo,only men,549
pharmaceuticals,1993,Solo,with women,60
pharmaceuticals,1993,Solo,pct_withwomen,9.852216748768473
pharmaceuticals,1993,Collaborative,Npatent,1343
pharmaceuticals,1993,Collaborative,only men,897
pharmaceuticals,1993,Collaborative,with women,446
pharmaceuticals,1993,Collaborative,pct_withwomen,33.209233060312734
pharmaceuticals,1994,Solo,Npatent,557
pharmaceuticals,1994,Solo,only men,505
pharmaceuticals,1994,Solo,with women,52
pharmaceuticals,1994,Solo,pct_withwomen,9.335727109515261
pharmaceuticals,1994,Collaborative,Npatent,1322
pharmaceuticals,1994,Collaborative,only men,873
pharmaceuticals,1994,Collaborative,with women,449
pharmaceuticals,1994,Collaborative,pct_withwomen,33.963691376701966
pharmaceuticals,1995,Solo,Npatent,609
pharmaceuticals,1995,Solo,only men,558
pharmaceuticals,1995,Solo,with women,51
pharmaceuticals,1995,Solo,pct_withwomen,8.374384236453203
pharmaceuticals,1995,Collaborative,Npatent,1607
pharmaceuticals,1995,Collaborative,only men,1045
pharmaceuticals,1995,Collaborative,with women,562
pharmaceuticals,1995,Collaborative,pct_withwomen,34.97199751088986
pharmaceuticals,1996,Solo,Npatent,802
pharmaceuticals,1996,Solo,only men,713
pharmaceuticals,1996,Solo,with women,89
pharmaceuticals,1996,Solo,pct_withwomen,11.097256857855362
pharmaceuticals,1996,Collaborative,Npatent,2173
pharmaceuticals,1996,Collaborative,only men,1346
pharmaceuticals,1996,Collaborative,with women,827
pharmaceuticals,1996,Collaborative,pct_withwomen,38.05798435342844
pharmaceuticals,1997,Solo,Npatent,1074
pharmaceuticals,1997,Solo,only men,963
pharmaceuticals,1997,Solo,with women,111
pharmaceuticals,1997,Solo,pct_withwomen,10.335195530726256
pharmaceuticals,1997,Collaborative,Npatent,3277
pharmaceuticals,1997,Collaborative,only men,2050
pharmaceuticals,1997,Collaborative,with women,1227
pharmaceuticals,1997,Collaborative,pct_withwomen,37.44278303326213
pharmaceuticals,1998,Solo,Npatent,1365
pharmaceuticals,1998,Solo,only men,1193
pharmaceuticals,1998,Solo,with women,172
pharmaceuticals,1998,Solo,pct_withwomen,12.6007326007326
pharmaceuticals,1998,Collaborative,Npatent,3943
pharmaceuticals,1998,Collaborative,only men,2304
pharmaceuticals,1998,Collaborative,with women,1639
pharmaceuticals,1998,Collaborative,pct_withwomen,41.56733451686533
pharmaceuticals,1999,Solo,Npatent,1375
pharmaceuticals,1999,Solo,only men,1208
pharmaceuticals,1999,Solo,with women,167
pharmaceuticals,1999,Solo,pct_withwomen,12.145454545454545
pharmaceuticals,1999,Collaborative,Npatent,4008
pharmaceuticals,1999,Collaborative,only men,2243
pharmaceuticals,1999,Collaborative,with women,1765
pharmaceuticals,1999,Collaborative,pct_withwomen,44.03692614770459
pharmaceuticals,2000,Solo,Npatent,1284
pharmaceuticals,2000,Solo,only men,1112
pharmaceuticals,2000,Solo,with women,172
pharmaceuticals,2000,Solo,pct_withwomen,13.39563862928349
pharmaceuticals,2000,Collaborative,Npatent,3713
pharmaceuticals,2000,Collaborative,only men,2116
pharmaceuticals,2000,Collaborative,with women,1597
pharmaceuticals,2000,Collaborative,pct_withwomen,43.01104228386749
pharmaceuticals,2001,Solo,Npatent,1418
pharmaceuticals,2001,Solo,only men,1237
pharmaceuticals,2001,Solo,with women,181
pharmaceuticals,2001,Solo,pct_withwomen,12.764456981664315
pharmaceuticals,2001,Collaborative,Npatent,4020
pharmaceuticals,2001,Collaborative,only men,2234
pharmaceuticals,2001,Collaborative,with women,1786
pharmaceuticals,2001,Collaborative,pct_withwomen,44.42786069651741
pharmaceuticals,2002,Solo,Npatent,1367
pharmaceuticals,2002,Solo,only men,1201
pharmaceuticals,2002,Solo,with women,166
pharmaceuticals,2002,Solo,pct_withwomen,12.143379663496708
pharmaceuticals,2002,Collaborative,Npatent,4275
pharmaceuticals,2002,Collaborative,only men,2332
pharmaceuticals,2002,Collaborative,with women,1943
pharmaceuticals,2002,Collaborative,pct_withwomen,45.45029239766082
pharmaceuticals,2003,Solo,Npatent,1337
pharmaceuticals,2003,Solo,only men,1180
pharmaceuticals,2003,Solo,with women,157
pharmaceuticals,2003,Solo,pct_withwomen,11.742707554225879
pharmaceuticals,2003,Collaborative,Npatent,3871
pharmaceuticals,2003,Collaborative,only men,2074
